aggregate_key,entity_type,entity_id,name_en,name_ar,period_grain,period_start,period_end,metric_code,segment_type,segment_code,metric_value,observation_count,confidence,quality_flags,source_export_date,methodology_version
community:517:year:2021-01-01:median_service_charge_sqft:all:all,community,517,Dubai Land,,year,2021-01-01,2021-12-31,median_service_charge_sqft,all,all,10.5,104,moderate,[],2026-09-08,dlx-aggregates-2
community:517:year:2022-01-01:median_service_charge_sqft:all:all,community,517,Dubai Land,,year,2022-01-01,2022-12-31,median_service_charge_sqft,all,all,11.0,117,moderate,[],2026-09-08,dlx-aggregates-2
community:517:year:2023-01-01:median_service_charge_sqft:all:all,community,517,Dubai Land,,year,2023-01-01,2023-12-31,median_service_charge_sqft,all,all,11.0,110,moderate,[],2026-09-08,dlx-aggregates-2
community:519:year:2019-01-01:median_service_charge_sqft:all:all,community,519,Dubai Silicon Oasis,,year,2019-01-01,2019-12-31,median_service_charge_sqft,all,all,12.0,39,moderate,[],2026-09-08,dlx-aggregates-2
community:519:year:2020-01-01:median_service_charge_sqft:all:all,community,519,Dubai Silicon Oasis,,year,2020-01-01,2020-12-31,median_service_charge_sqft,all,all,12.0,50,moderate,[],2026-09-08,dlx-aggregates-2
community:519:year:2021-01-01:median_service_charge_sqft:all:all,community,519,Dubai Silicon Oasis,,year,2021-01-01,2021-12-31,median_service_charge_sqft,all,all,12.0,50,moderate,[],2026-09-08,dlx-aggregates-2
community:519:year:2022-01-01:median_service_charge_sqft:all:all,community,519,Dubai Silicon Oasis,,year,2022-01-01,2022-12-31,median_service_charge_sqft,all,all,12.0,51,moderate,[],2026-09-08,dlx-aggregates-2
community:519:year:2023-01-01:median_service_charge_sqft:all:all,community,519,Dubai Silicon Oasis,,year,2023-01-01,2023-12-31,median_service_charge_sqft,all,all,13.0,50,moderate,[],2026-09-08,dlx-aggregates-2
community:9:year:2021-01-01:median_service_charge_sqft:all:all,community,9,Jumeirah Village Circle,,year,2021-01-01,2021-12-31,median_service_charge_sqft,all,all,14.0,46,moderate,[],2026-09-08,dlx-aggregates-2
community:9:year:2022-01-01:median_service_charge_sqft:all:all,community,9,Jumeirah Village Circle,,year,2022-01-01,2022-12-31,median_service_charge_sqft,all,all,14.0,55,moderate,[],2026-09-08,dlx-aggregates-2
community:9:year:2023-01-01:median_service_charge_sqft:all:all,community,9,Jumeirah Village Circle,,year,2023-01-01,2023-12-31,median_service_charge_sqft,all,all,15.0,61,moderate,[],2026-09-08,dlx-aggregates-2
community:95:year:2019-01-01:median_service_charge_sqft:all:all,community,95,Motor City,,year,2019-01-01,2019-12-31,median_service_charge_sqft,all,all,13.0,53,moderate,[],2026-09-08,dlx-aggregates-2
community:95:year:2020-01-01:median_service_charge_sqft:all:all,community,95,Motor City,,year,2020-01-01,2020-12-31,median_service_charge_sqft,all,all,15.0,53,moderate,[],2026-09-08,dlx-aggregates-2
community:95:year:2021-01-01:median_service_charge_sqft:all:all,community,95,Motor City,,year,2021-01-01,2021-12-31,median_service_charge_sqft,all,all,14.0,53,moderate,[],2026-09-08,dlx-aggregates-2
community:98:year:2019-01-01:median_service_charge_sqft:all:all,community,98,Dubai Sports City,,year,2019-01-01,2019-12-31,median_service_charge_sqft,all,all,14.0,37,moderate,[],2026-09-08,dlx-aggregates-2
community:98:year:2020-01-01:median_service_charge_sqft:all:all,community,98,Dubai Sports City,,year,2020-01-01,2020-12-31,median_service_charge_sqft,all,all,14.0,46,moderate,[],2026-09-08,dlx-aggregates-2
community:98:year:2021-01-01:median_service_charge_sqft:all:all,community,98,Dubai Sports City,,year,2021-01-01,2021-12-31,median_service_charge_sqft,all,all,13.0,49,moderate,[],2026-09-08,dlx-aggregates-2
community:98:year:2022-01-01:median_service_charge_sqft:all:all,community,98,Dubai Sports City,,year,2022-01-01,2022-12-31,median_service_charge_sqft,all,all,13.0,41,moderate,[],2026-09-08,dlx-aggregates-2
community:98:year:2023-01-01:median_service_charge_sqft:all:all,community,98,Dubai Sports City,,year,2023-01-01,2023-12-31,median_service_charge_sqft,all,all,13.0,36,moderate,[],2026-09-08,dlx-aggregates-2
