aggregate_key,entity_type,entity_id,name_en,name_ar,period_grain,period_start,period_end,metric_code,segment_type,segment_code,metric_value,observation_count,confidence,quality_flags,source_export_date,methodology_version
community:230:quarter:2021-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2021-07-01,2021-09-30,median_rent_per_sqft,all,all,333.33,131,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2021-10-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2021-10-01,2021-12-31,median_rent_per_sqft,all,all,346.15,161,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2022-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2022-01-01,2022-03-31,median_rent_per_sqft,all,all,346.87,167,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2022-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2022-04-01,2022-06-30,median_rent_per_sqft,all,all,348.21,154,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2022-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2022-07-01,2022-09-30,median_rent_per_sqft,all,all,348.21,151,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2022-10-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2022-10-01,2022-12-31,median_rent_per_sqft,all,all,351.6,149,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2023-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2023-01-01,2023-03-31,median_rent_per_sqft,all,all,357.48,175,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2023-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2023-04-01,2023-06-30,median_rent_per_sqft,all,all,365.16,162,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2023-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2023-07-01,2023-09-30,median_rent_per_sqft,all,all,367.36,166,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2023-10-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2023-10-01,2023-12-31,median_rent_per_sqft,all,all,374.15,155,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2024-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2024-01-01,2024-03-31,median_rent_per_sqft,all,all,363.86,168,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2024-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2024-04-01,2024-06-30,median_rent_per_sqft,all,all,385.71,165,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2024-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2024-07-01,2024-09-30,median_rent_per_sqft,all,all,396.13,162,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2024-10-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2024-10-01,2024-12-31,median_rent_per_sqft,all,all,390.69,171,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2025-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2025-01-01,2025-03-31,median_rent_per_sqft,all,all,370.48,181,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2025-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2025-04-01,2025-06-30,median_rent_per_sqft,all,all,396.51,154,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2025-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2025-07-01,2025-09-30,median_rent_per_sqft,all,all,396.13,162,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2025-10-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2025-10-01,2025-12-31,median_rent_per_sqft,all,all,400.0,182,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2026-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2026-01-01,2026-03-31,median_rent_per_sqft,all,all,400.02,169,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2026-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2026-04-01,2026-06-30,median_rent_per_sqft,all,all,407.05,165,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2026-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2026-07-01,2026-09-30,median_rent_per_sqft,all,all,416.9,84,moderate,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2019-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2019-01-01,2019-03-31,median_rent_per_sqft,all,all,509.63,379,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2019-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2019-04-01,2019-06-30,median_rent_per_sqft,all,all,524.75,331,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2019-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2019-07-01,2019-09-30,median_rent_per_sqft,all,all,6481.55,785,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2019-10-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2019-10-01,2019-12-31,median_rent_per_sqft,all,all,495.15,331,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2020-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2020-01-01,2020-03-31,median_rent_per_sqft,all,all,482.76,395,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2020-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2020-04-01,2020-06-30,median_rent_per_sqft,all,all,118483.41,669,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2020-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2020-07-01,2020-09-30,median_rent_per_sqft,all,all,454.55,378,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2020-10-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2020-10-01,2020-12-31,median_rent_per_sqft,all,all,439.19,381,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2021-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2021-01-01,2021-03-31,median_rent_per_sqft,all,all,441.89,521,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2021-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2021-04-01,2021-06-30,median_rent_per_sqft,all,all,432.78,422,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2021-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2021-07-01,2021-09-30,median_rent_per_sqft,all,all,458.33,789,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2021-10-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2021-10-01,2021-12-31,median_rent_per_sqft,all,all,428.82,508,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2022-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2022-01-01,2022-03-31,median_rent_per_sqft,all,all,440.95,612,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2022-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2022-04-01,2022-06-30,median_rent_per_sqft,all,all,439.35,565,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2022-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2022-07-01,2022-09-30,median_rent_per_sqft,all,all,426.78,618,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2022-10-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2022-10-01,2022-12-31,median_rent_per_sqft,all,all,442.01,587,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2023-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2023-01-01,2023-03-31,median_rent_per_sqft,all,all,454.55,594,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2023-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2023-04-01,2023-06-30,median_rent_per_sqft,all,all,461.19,554,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2023-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2023-07-01,2023-09-30,median_rent_per_sqft,all,all,490.4,850,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2023-10-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2023-10-01,2023-12-31,median_rent_per_sqft,all,all,470.69,642,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2024-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2024-01-01,2024-03-31,median_rent_per_sqft,all,all,486.27,621,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2024-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2024-04-01,2024-06-30,median_rent_per_sqft,all,all,491.67,559,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2024-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2024-07-01,2024-09-30,median_rent_per_sqft,all,all,596.14,1079,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2024-10-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2024-10-01,2024-12-31,median_rent_per_sqft,all,all,495.58,637,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2025-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2025-01-01,2025-03-31,median_rent_per_sqft,all,all,506.33,607,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2025-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2025-04-01,2025-06-30,median_rent_per_sqft,all,all,516.45,630,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2025-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2025-07-01,2025-09-30,median_rent_per_sqft,all,all,594.53,1235,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2025-10-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2025-10-01,2025-12-31,median_rent_per_sqft,all,all,520.0,920,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2026-01-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2026-01-01,2026-03-31,median_rent_per_sqft,all,all,559.71,764,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2026-04-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2026-04-01,2026-06-30,median_rent_per_sqft,all,all,526.32,529,higher,[],2026-09-08,dlx-aggregates-2
community:231:quarter:2026-07-01:median_rent_per_sqft:all:all,community,231,Al Mamzer,,quarter,2026-07-01,2026-09-30,median_rent_per_sqft,all,all,565.93,681,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2019-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2019-01-01,2019-03-31,median_rent_per_sqft,all,all,492.31,2239,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2019-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2019-04-01,2019-06-30,median_rent_per_sqft,all,all,479.23,1924,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2019-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2019-07-01,2019-09-30,median_rent_per_sqft,all,all,480.45,2125,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2019-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2019-10-01,2019-12-31,median_rent_per_sqft,all,all,444.16,1742,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2020-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2020-01-01,2020-03-31,median_rent_per_sqft,all,all,441.82,2072,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2020-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2020-04-01,2020-06-30,median_rent_per_sqft,all,all,430.56,1685,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2020-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2020-07-01,2020-09-30,median_rent_per_sqft,all,all,426.07,2236,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2020-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2020-10-01,2020-12-31,median_rent_per_sqft,all,all,391.51,1889,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2021-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2021-01-01,2021-03-31,median_rent_per_sqft,all,all,397.71,1973,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2021-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2021-04-01,2021-06-30,median_rent_per_sqft,all,all,389.57,1676,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2021-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2021-07-01,2021-09-30,median_rent_per_sqft,all,all,400.34,2322,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2021-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2021-10-01,2021-12-31,median_rent_per_sqft,all,all,400.0,2190,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2022-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2022-01-01,2022-03-31,median_rent_per_sqft,all,all,406.28,2356,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2022-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2022-04-01,2022-06-30,median_rent_per_sqft,all,all,410.36,1903,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2022-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2022-07-01,2022-09-30,median_rent_per_sqft,all,all,425.0,2546,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2022-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2022-10-01,2022-12-31,median_rent_per_sqft,all,all,417.25,2207,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2023-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2023-01-01,2023-03-31,median_rent_per_sqft,all,all,423.93,2246,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2023-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2023-04-01,2023-06-30,median_rent_per_sqft,all,all,446.43,2049,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2023-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2023-07-01,2023-09-30,median_rent_per_sqft,all,all,458.47,2739,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2023-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2023-10-01,2023-12-31,median_rent_per_sqft,all,all,450.0,2334,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2024-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2024-01-01,2024-03-31,median_rent_per_sqft,all,all,453.02,2261,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2024-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2024-04-01,2024-06-30,median_rent_per_sqft,all,all,474.59,2035,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2024-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2024-07-01,2024-09-30,median_rent_per_sqft,all,all,488.64,2737,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2024-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2024-10-01,2024-12-31,median_rent_per_sqft,all,all,478.89,2314,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2025-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2025-01-01,2025-03-31,median_rent_per_sqft,all,all,481.15,2269,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2025-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2025-04-01,2025-06-30,median_rent_per_sqft,all,all,489.32,2000,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2025-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2025-07-01,2025-09-30,median_rent_per_sqft,all,all,502.15,2790,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2025-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2025-10-01,2025-12-31,median_rent_per_sqft,all,all,502.84,2301,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2026-01-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2026-01-01,2026-03-31,median_rent_per_sqft,all,all,510.5,2195,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2026-04-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2026-04-01,2026-06-30,median_rent_per_sqft,all,all,513.67,1956,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2026-07-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2026-07-01,2026-09-30,median_rent_per_sqft,all,all,524.96,1957,higher,[],2026-09-08,dlx-aggregates-2
community:232:quarter:2026-10-01:median_rent_per_sqft:all:all,community,232,Mirdif,,quarter,2026-10-01,2026-12-31,median_rent_per_sqft,all,all,524.71,100,moderate,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2019-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2019-01-01,2019-03-31,median_rent_per_sqft,all,all,405.48,377,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2019-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2019-04-01,2019-06-30,median_rent_per_sqft,all,all,418.56,229,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2019-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2019-07-01,2019-09-30,median_rent_per_sqft,all,all,430.56,221,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2019-10-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2019-10-01,2019-12-31,median_rent_per_sqft,all,all,402.61,235,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2020-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2020-01-01,2020-03-31,median_rent_per_sqft,all,all,402.86,347,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2020-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2020-04-01,2020-06-30,median_rent_per_sqft,all,all,389.96,204,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2020-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2020-07-01,2020-09-30,median_rent_per_sqft,all,all,396.39,242,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2020-10-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2020-10-01,2020-12-31,median_rent_per_sqft,all,all,358.79,242,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2021-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2021-01-01,2021-03-31,median_rent_per_sqft,all,all,355.45,327,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2021-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2021-04-01,2021-06-30,median_rent_per_sqft,all,all,348.8,195,moderate,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2021-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2021-07-01,2021-09-30,median_rent_per_sqft,all,all,354.51,250,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2021-10-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2021-10-01,2021-12-31,median_rent_per_sqft,all,all,349.26,255,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2022-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2022-01-01,2022-03-31,median_rent_per_sqft,all,all,349.46,357,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2022-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2022-04-01,2022-06-30,median_rent_per_sqft,all,all,342.57,242,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2022-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2022-07-01,2022-09-30,median_rent_per_sqft,all,all,371.84,261,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2022-10-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2022-10-01,2022-12-31,median_rent_per_sqft,all,all,377.29,262,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2023-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2023-01-01,2023-03-31,median_rent_per_sqft,all,all,363.7,346,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2023-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2023-04-01,2023-06-30,median_rent_per_sqft,all,all,370.32,256,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2023-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2023-07-01,2023-09-30,median_rent_per_sqft,all,all,383.29,264,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2023-10-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2023-10-01,2023-12-31,median_rent_per_sqft,all,all,383.33,295,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2024-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2024-01-01,2024-03-31,median_rent_per_sqft,all,all,383.89,370,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2024-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2024-04-01,2024-06-30,median_rent_per_sqft,all,all,394.74,265,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2024-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2024-07-01,2024-09-30,median_rent_per_sqft,all,all,409.67,269,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2024-10-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2024-10-01,2024-12-31,median_rent_per_sqft,all,all,457.59,330,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2025-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2025-01-01,2025-03-31,median_rent_per_sqft,all,all,423.77,433,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2025-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2025-04-01,2025-06-30,median_rent_per_sqft,all,all,421.28,247,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2025-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2025-07-01,2025-09-30,median_rent_per_sqft,all,all,422.49,303,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2025-10-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2025-10-01,2025-12-31,median_rent_per_sqft,all,all,463.95,320,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2026-01-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2026-01-01,2026-03-31,median_rent_per_sqft,all,all,442.48,378,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2026-04-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2026-04-01,2026-06-30,median_rent_per_sqft,all,all,428.92,230,higher,[],2026-09-08,dlx-aggregates-2
community:233:quarter:2026-07-01:median_rent_per_sqft:all:all,community,233,Hor Al Anz,,quarter,2026-07-01,2026-09-30,median_rent_per_sqft,all,all,410.34,164,moderate,[],2026-09-08,dlx-aggregates-2
community:234:quarter:2019-01-01:median_rent_per_sqft:all:all,community,234,Hor Al Anz East,,quarter,2019-01-01,2019-03-31,median_rent_per_sqft,all,all,493.8,654,higher,[],2026-09-08,dlx-aggregates-2
community:234:quarter:2019-04-01:median_rent_per_sqft:all:all,community,234,Hor Al Anz East,,quarter,2019-04-01,2019-06-30,median_rent_per_sqft,all,all,500.0,428,higher,[],2026-09-08,dlx-aggregates-2
community:234:quarter:2019-07-01:median_rent_per_sqft:all:all,community,234,Hor Al Anz East,,quarter,2019-07-01,2019-09-30,median_rent_per_sqft,all,all,497.12,444,higher,[],2026-09-08,dlx-aggregates-2
community:234:quarter:2019-10-01:median_rent_per_sqft:all:all,community,234,Hor Al Anz East,,quarter,2019-10-01,2019-12-31,median_rent_per_sqft,all,all,478.75,392,higher,[],2026-09-08,dlx-aggregates-2
community:234:quarter:2020-01-01:median_rent_per_sqft:all:all,community,234,Hor Al Anz East,,quarter,2020-01-01,2020-03-31,median_rent_per_sqft,all,all,450.75,633,higher,[],2026-09-08,dlx-aggregates-2
community:234:quarter:2020-04-01:median_rent_per_sqft:all:all,community,234,Hor Al Anz East,,quarter,2020-04-01,2020-06-30,median_rent_per_sqft,all,all,458.33,371,higher,[],2026-09-08,dlx-aggregates-2
