dataset,field,classification,rationale,source_dictionary_classification
Building and Property Project Records,car_parks,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,common_area,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,creation_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,elevators,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,flats,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,floors,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,is_free_hold,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,is_lease_hold,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,is_registered,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,land_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Building and Property Project Records,land_sub_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Building and Property Project Records,land_type_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,land_type_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,land_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,master_project_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,master_project_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,master_project_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,offices,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,parcel_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Building and Property Project Records,parent_property_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Building and Property Project Records,pre_registration_number,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Building and Property Project Records,project_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,project_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,project_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,property_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Building and Property Project Records,property_sub_type_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,property_sub_type_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,property_sub_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,property_type_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,property_type_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,property_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,rooms,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,rooms_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,rooms_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,shops,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,swimming_pools,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,zone_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Developers Recorded in Dubai Land Department,chamber_of_commerce_no,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,developer_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,developer_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,developer_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,developer_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,fax,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Developers Recorded in Dubai Land Department,legal_status,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,legal_status_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,legal_status_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_expiry_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_issue_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_source_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_source_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_source_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_type_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_type_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,license_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,participant_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Developers Recorded in Dubai Land Department,phone,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Developers Recorded in Dubai Land Department,registration_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Developers Recorded in Dubai Land Department,webpage,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Developers Recorded in Dubai Land Department,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Elders and People of Determination,average_service_time,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,average_wating_time,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,percent_service_time_in_target,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,percent_waiting_time_in_target,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,service_location_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,service_location_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,service_month,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,service_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,service_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,service_year,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,target_service_time,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,target_waiting_time,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,total_no_of_tickets,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Elders and People of Determination,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Free Zone Companies Licensing,email,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Free Zone Companies Licensing,fz_company_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,fz_company_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,fz_company_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,license_expiry_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,license_issue_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,license_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,license_source_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,license_source_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,license_source_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Free Zone Companies Licensing,phone,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Free Zone Companies Licensing,webpage,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Free Zone Companies Licensing,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Land Registry,actual_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,area_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,area_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,area_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,is_free_hold,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,is_registered,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,land_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Land Registry,land_sub_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Land Registry,land_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,land_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,land_type_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,master_project_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,master_project_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,master_project_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,munc_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Land Registry,munc_zip_code,internal,Granular property locator; not suitable for public row-level exposure.,Open
Land Registry,parcel_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Land Registry,pre_registration_number,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Land Registry,project_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,project_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,project_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,property_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Land Registry,property_sub_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,property_sub_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,property_sub_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,property_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,property_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,property_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Land Registry,separated_from,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,separated_reference,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,zone_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Land Registry,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Licenced Owner Associations,company_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licenced Owner Associations,company_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licenced Owner Associations,email,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Licenced Owner Associations,latitude,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licenced Owner Associations,longitude,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licenced Owner Associations,phone,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Licenced Owner Associations,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Licensed Real Estate Valuators,gender_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,gender_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,gender_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,license_end_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,license_start_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuation_company_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuation_company_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuation_company_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuator_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuator_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuator_nationality_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuator_nationality_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuator_nationality_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,valuator_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Licensed Real Estate Valuators,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Lookup Dubai Community Areas,area_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Dubai Community Areas,municipality_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Dubai Community Areas,name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Dubai Community Areas,name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Dubai Community Areas,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Lookup Real Estate Market Types,market_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Market Types,name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Market Types,name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Market Types,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Lookup Real Estate Transactions Groups,group_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Groups,name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Groups,name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Groups,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Lookup Real Estate Transactions Procedures,group_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Procedures,is_pre_registration,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Procedures,name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Procedures,name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Procedures,procedure_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Lookup Real Estate Transactions Procedures,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Owners Association Service Charges,budget_year,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,management_company_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,management_company_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,management_company_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,master_community_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,master_community_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,master_community_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,project_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,project_name,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,property_group_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,property_group_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,property_group_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,service_category_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,service_category_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,service_category_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,service_cost,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,usage_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,usage_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,usage_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Owners Association Service Charges,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Property Map Requests,application_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Property Map Requests,application_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,application_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,no_of_siteplans,aggregate-only,Operational service activity; publish only as aggregated demand statistics.,Open
Property Map Requests,procedure_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,procedure_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,procedure_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,property_type_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,property_type_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,property_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,request_date,aggregate-only,Operational service activity; publish only as aggregated demand statistics.,Open
Property Map Requests,request_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Property Map Requests,request_source_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,request_source_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,request_source_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Property Map Requests,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Property Valuation Records,actual_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,actual_worth,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,area_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,area_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,area_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,instance_date,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,procedure_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,procedure_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,procedure_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,procedure_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,procedure_number,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Property Valuation Records,procedure_year,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,property_sub_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,property_sub_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,property_sub_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,property_total_value,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,property_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,property_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,property_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Property Valuation Records,row_status_code,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Property Valuation Records,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Real Estate Brokers,broker_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,broker_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,broker_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,fax,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Brokers,gender,aggregate-only,Person-level demographic attribute; publish only as a sufficiently large aggregate.,Open
Real Estate Brokers,license_end_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,license_start_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,participant_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Brokers,phone,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Brokers,real_estate_broker_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,real_estate_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,real_estate_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Brokers,webpage,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Brokers,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Real Estate Licenses,activity_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,activity_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,activity_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,authority_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,cancel_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,chamber_commerce_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,commerce_registry_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,ded_activity_code,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,expiry_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,issue_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
