dataset,field,classification,publication,reason
Building and Property Project Records,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,area_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,area_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,bld_levels,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,building_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Building and Property Project Records,built_up_area,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,car_parks,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,common_area,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,creation_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,elevators,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,flats,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,floors,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,is_free_hold,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,is_lease_hold,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,is_registered,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,land_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Building and Property Project Records,land_sub_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Building and Property Project Records,land_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,land_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,land_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,master_project_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,master_project_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,master_project_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,offices,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,parcel_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Building and Property Project Records,parent_property_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Building and Property Project Records,pre_registration_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Building and Property Project Records,project_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,project_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,project_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,property_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Building and Property Project Records,property_sub_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,property_sub_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,property_sub_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,rooms,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,rooms_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,rooms_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,shops,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,swimming_pools,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,zone_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Developers Recorded in Dubai Land Department,chamber_of_commerce_no,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,developer_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,developer_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,developer_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,developer_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,fax,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Developers Recorded in Dubai Land Department,legal_status,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,legal_status_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,legal_status_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_expiry_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_issue_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_source_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_source_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_source_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,license_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,participant_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Developers Recorded in Dubai Land Department,phone,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Developers Recorded in Dubai Land Department,registration_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Developers Recorded in Dubai Land Department,webpage,internal matching field,prohibited,Pipeline lineage field.
Developers Recorded in Dubai Land Department,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Elders and People of Determination,average_service_time,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,average_wating_time,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,percent_service_time_in_target,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,percent_waiting_time_in_target,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,service_location_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,service_location_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,service_month,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,service_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,service_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,service_year,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,target_service_time,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,target_waiting_time,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,total_no_of_tickets,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Elders and People of Determination,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Free Zone Companies Licensing,email,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Free Zone Companies Licensing,fz_company_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,fz_company_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,fz_company_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,license_expiry_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,license_issue_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,license_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,license_source_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,license_source_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,license_source_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Free Zone Companies Licensing,phone,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Free Zone Companies Licensing,webpage,internal matching field,prohibited,Pipeline lineage field.
Free Zone Companies Licensing,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Land Registry,actual_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,area_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,area_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,is_free_hold,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,is_registered,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,land_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Land Registry,land_sub_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Land Registry,land_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,land_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,land_type_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,master_project_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,master_project_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,master_project_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,munc_number,internal matching field,prohibited,Pipeline lineage field.
Land Registry,munc_zip_code,internal matching field,prohibited,Pipeline lineage field.
Land Registry,parcel_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Land Registry,pre_registration_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Land Registry,project_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,project_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,project_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,property_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Land Registry,property_sub_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,property_sub_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,property_sub_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Land Registry,separated_from,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,separated_reference,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,zone_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Land Registry,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Licenced Owner Associations,company_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licenced Owner Associations,company_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licenced Owner Associations,email,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licenced Owner Associations,latitude,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licenced Owner Associations,longitude,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licenced Owner Associations,phone,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licenced Owner Associations,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Licensed Real Estate Valuators,gender_ar,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licensed Real Estate Valuators,gender_en,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licensed Real Estate Valuators,gender_id,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licensed Real Estate Valuators,license_end_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,license_start_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,valuation_company_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,valuation_company_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,valuation_company_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,valuator_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,valuator_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,valuator_nationality_ar,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licensed Real Estate Valuators,valuator_nationality_en,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licensed Real Estate Valuators,valuator_nationality_id,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Licensed Real Estate Valuators,valuator_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Licensed Real Estate Valuators,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Lookup Dubai Community Areas,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Dubai Community Areas,municipality_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Dubai Community Areas,name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Dubai Community Areas,name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Dubai Community Areas,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Lookup Real Estate Market Types,market_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Market Types,name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Market Types,name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Market Types,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Lookup Real Estate Transactions Groups,group_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Groups,name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Groups,name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Groups,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Lookup Real Estate Transactions Procedures,group_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Procedures,is_pre_registration,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Procedures,name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Procedures,name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Procedures,procedure_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Lookup Real Estate Transactions Procedures,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Owners Association Service Charges,budget_year,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,management_company_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,management_company_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,management_company_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,master_community_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,master_community_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,master_community_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,project_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,project_name,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,property_group_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,property_group_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,property_group_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,service_category_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,service_category_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,service_category_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,service_cost,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,usage_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,usage_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,usage_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Owners Association Service Charges,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Property Map Requests,application_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Property Map Requests,application_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,application_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,no_of_siteplans,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Map Requests,procedure_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,procedure_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,procedure_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,request_date,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Map Requests,request_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Property Map Requests,request_source_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,request_source_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,request_source_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Map Requests,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Property Valuation Records,actual_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,actual_worth,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,area_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,area_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,instance_date,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,procedure_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,procedure_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,procedure_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,procedure_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,procedure_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Property Valuation Records,procedure_year,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,property_sub_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,property_sub_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,property_sub_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,property_total_value,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Property Valuation Records,row_status_code,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Property Valuation Records,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Real Estate Brokers,broker_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,broker_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,broker_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,fax,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Real Estate Brokers,gender,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Real Estate Brokers,license_end_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,license_start_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,participant_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Real Estate Brokers,phone,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Real Estate Brokers,real_estate_broker_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,real_estate_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,real_estate_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Brokers,webpage,internal matching field,prohibited,Pipeline lineage field.
Real Estate Brokers,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Real Estate Licenses,activity_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,activity_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,activity_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,authority_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,cancel_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,chamber_commerce_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,commerce_registry_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,ded_activity_code,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,expiry_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,issue_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,legal_type_arabic,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,legal_type_english,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,legal_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,license_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,parcel_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Real Estate Licenses,participant_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Real Estate Licenses,print_rmker_arabic,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,rent_contract_no,internal matching field,prohibited,Pipeline lineage field.
Real Estate Licenses,status_arabic,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,status_english,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,status_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,trade_name_arabic,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,trade_name_english,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Licenses,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Real Estate Offices,activity_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,activity_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,activity_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,ded_activity_code,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,fax,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Real Estate Offices,is_branch,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,license_expiry_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,license_issue_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,license_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,license_source_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,license_source_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,license_source_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,main_office_id,internal matching field,prohibited,Pipeline lineage field.
Real Estate Offices,participant_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Real Estate Offices,phone,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Real Estate Offices,real_estate_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
